activation_event_count,authentication,browser_entrypoint,bytes,category_count,commands,custom_editors,debuggers,dependency_count,dev_dependency_count,extension_id,languages,license_declared,main_entrypoint,repository_declared,sha256,task_definitions,terminal_profiles,untrusted_workspace_limited,valid_manifest,version,virtual_workspace_limited,vscode_engine,webview_views,wildcard_activation
1,0,False,13685650,2,7,0,0,6,7,PrashantMalan.claude-steward,0,True,True,True,a0c32c94c23b8e14c462b4b46a73f41f297989c7fb47ab1ac5837213e8fa279c,0,0,False,True,1.3.47,False,^1.85.0,1,False
3,0,False,33738736,6,26,0,0,76,35,8eton.ai-ide-bas,0,True,True,True,a3ddcf1939870f39d4af677fcea972f27008bdb497ff9c55f2b7425b7d5da751,0,0,False,True,0.1.6-3,False,^1.84.0,1,False
1,0,False,6279,1,1,0,0,0,11,distmitrasto.Tiny-Island-gratuita,0,False,True,False,a65c2e069ce6fcb5677a811cc6b30282860f5a2bf2e08fd0892ce244cf0fa573,0,0,False,True,0.0.1,False,^1.65.0,0,False
0,0,False,34530,2,4,0,0,0,4,mcpbundles.mcpbundles-remote-browser,0,True,True,True,a69a51ad5fbc39d80788be04ab048e24b694ba403de6825bc0d3aa8a7727999a,0,0,False,True,0.1.3,False,^1.99.0,0,False
1,0,False,13226,1,1,0,0,0,4,tina-zhai.rtf-preview,1,True,True,True,a84380e28434221a3018588bad19afc0769998c5cc297a864857de7febe44793,0,0,False,True,0.5.2,False,^1.75.0,0,False
1,0,False,213884,2,1,0,0,2,8,Noor.vibestudio,1,False,True,True,a99f0065603345d1ef3e606669a053d6c4d489dbe86fc53e48017dcb263800db,0,0,False,True,1.0.5,False,^1.74.0,0,False
0,0,False,21319,1,0,0,0,0,0,GauravAtreya.nadi-task-system,2,False,False,True,ab6cd23164b3c7a385c1a541cdfe79b80039370a7886a154d954c19697e0d0fa,0,0,False,True,0.7.0,False,^1.100.0,0,False
0,0,False,4048369,1,1,0,0,2,14,assistantpublisher.llama2-assistant,0,False,True,True,ac042645548dd1c5e57c90bc6e2bcb56a5c0a7b0fe42101b560508fb6ddcde3c,0,0,False,True,0.0.7,False,^1.83.0,0,False
1,0,False,314449,1,10,0,0,2,12,Aiven.aiven-kafkaui-vscode-extension,0,False,True,False,ad2786eacec615a9dbee08545cbdf42384c9287da2ff1bd0089b5e3eb455bd63,0,0,False,True,1.1.1,False,^1.74.0,1,False
1,0,True,889100,1,11,0,0,2,21,PKief.material-icon-theme,0,True,True,True,ade9adefe3909cea92aed52850ddd00975d1dc1b62fe558831f6fb8b88f7c3ce,0,0,True,True,5.37.0,False,^1.55.0,0,False
